Subject,Category
Daily Buzz : Last Date for Data Science Hackathon Today!,Learning Bytes
International Women's Day 2019 | March 8th Celebrations-- ,Social
Happy Women's Day!!,Social
Second Level Escalation email: MFG NDA-Submission,Important
Happy Women's Day ,Social
#BalanceForBetter Happy Women's Day,Social
Reminder: Assigned activity NAD 101 to be completed by 3/15/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Automation Engineer Basic Certification to be completed by 4/12/2019,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
The Daily Buzz: Announcing Technovation – Share your Customer Stories!,Learning Bytes
Thank You Chennai associates,Social
International Women's Day 2019 | March 7th Celebrations,Social
Ekatvam 2019 - Register NOW!!,Social
Learning Bytes: AUTOMATION | PEG | BLOCKCHAIN | IBM | LIFESKILL Sessions,Learning Bytes
International Women's Day 2019 | March 7th Celebrations,Social
Reminder 1: Insurance Enrollment Window for Plan Year 2018-2019,Important
NewsNXt: Meet the World's Hardest Workers,Social
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Prevention of Sexual Harassment (POSH) to be completed by 3/28/2019.,Important
Reminder: Assigned activity Digital 201 certification to be completed by 5/2/2019.,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
The Daily Buzz: Wave 2 Write-a-thon: Results announced | Zenith Automation Success Story,Learning Bytes
International Women's Day 2019 | March 7th Celebrations,Social
Important update: Add this number to your mobile phonebook immediately,Important
#TechMForPulwamaMartyrs: Help rebuild a broken childhood,Social
RE:  International Women's Day 2019 | March 6th Event,Social
Reminder: Assigned activity NAD 101 to be completed by 3/15/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
International Women's Day 2019 | March 6th Event,Social
The Daily Buzz: Attend a Webinar on Sustainability / Health Awareness TODAY at 3 PM!,Learning Bytes
Learning Bytes: AUTOMATION | PEG | BLOCKCHAIN Sessions,Learning Bytes
"Women, there's a shero in each one of you: Let the stories flow | Send your entries today",Social
Insurance Enrollment Window for Plan Year 2018-2019,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
Reminder: Assigned activity Data Protection and Privacy to be completed by 4/2/2019.,Important
Learning Assignment Reminder: How to build Secure Applications? Due by 4/2/2019.,Important
Reminder: Assigned activity How to build Secure Applications using TechM's standard tools and guidelines to be completed by 4/2/2019.,Important
Learning Assignment Reminder: Data Protection Due by 4/2/2019.,Important
Reminder: Assigned activity Digital 101 to be completed by 5/2/2019.,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Learning Opportunities at Chennai,Learning Bytes
Registration for Ekatvam-2019,Social
International Women's Day 2019 | March 4th Celebrations,Social
Welcome to Tech Mahindra : SBU- D- ASV Family,Social
Ekatvam 2019 - Registrations Open!!,Social
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Learning Bytes
Reminder: Assigned activity Discrete Manufacturing and Integrated Production Systems 101 to be completed by 4/2/2019.,Important
<Chennai>International Women's Day 2019 | March 8th Celebrations - Today from 5PM @Amphi,Social
Happy Women's Day : Tag and Thank ,Social
International Women's Day 2019 | March 8th Celebrations - Today from 5PM @Amphi,Social
[ALL] TIM Service Notification - Intermittent issues to NAD,Important
[ALL] TIM Service Notification - Restoration - Intermittent issues to NAD,Important
Reminder: Assigned activity Code of Ethical Business Conduct Mandate (CEBC) to be completed by 3/28/2019.,Important
Learning Assignment Reminder: Rise with Dice Due by 4/2/2019.,Important
